index,authors,title,journal,year,volume,pages
26,"陈莉; 布多; 崔小梅; 等","柚子皮吸附剂对甲醛的吸附性能研究","中国野生植物资源",2024,43(12),69-74
27,"余含月; 魏豪; 崔小梅; 等","西藏七地市2012-2024年气象要素变化特征","湖北工程学院学报",2024,44(06),39-46
28,"于婉婷; 王卓; 布多; 等","水体中重金属处理技术、风险评价及来源解析研究进展","云南化工",2024,51(10),1-6
29,"崔小梅; 王金虎; 陈均玉; 等","西藏点地梅基因组调研及SSR特征分析","分子植物育种",2024,22(17),5692-5700
30,"魏豪; 余含月; 布多","近6年西藏地区空气环境质量变化趋势分析","黑龙江环境通报",2024,37(09),1-6
31,"于婉婷; 王卓; 索朗拉姆; 等","拉萨市售甜茶中氟化物含量测定、来源分析及摄入风险评价","环境化学",2024,,1-9
32,"逄东润; 张庆华; 布多","青藏高原新型溴代阻燃剂的污染现状与研究展望","环境科学与技术",2024,,1-15
33,"谢民生; 吉东生; 殷秀峰; 等","基于非参数统计方法估算青藏高原臭氧背景浓度","中国环境科学",2024,44(08),4274-4281
34,"许耿; 肖方景; 崔小梅; 布多; 张强英","西藏羊八井高温地热水砷和氟浓度及来源探析","岩矿测试",2024,43(3),487-500
35,"Zhou Wei; Huang Kai; Bu Duo; Zhang Qiangying; Fu Jie; Hu Boyuan; Zhou Yunqiao; Chen Weifang; Fu Yilin; Zhang Aiqian; Fu Jianjie; Jiang Guibin","Remarkable Contamination of Short- and Medium-Chain Chlorinated Paraffins in Free-Range Chicken Eggs from Rural Tibetan Plateau","Environmental Science & Technology",2024,58(11),5093-5102
36,"陈优; 肖方景; 谢民生; 崔小梅; 布多; 张强英","基于CiteSpace的水环境中汞的研究现状及趋势分析","环境生态学",2024,6(04),117-124
37,"Wei Zhou; Duo Bu; Kai Huang; Qiangying Zhang; Xiaomei Cui; Zeng Dan; Yinzheng Yang; Yilin Fu; Qianyuan Yang; Yunhe Teng; Jie Fu; Aiqian Zhang; Jianjie Fu; Guibin Jiang","First comprehensive assessment of dietary chlorinated paraffins intake and exposure risk for the rural population of the Tibetan Plateau, China","Science of The Total Environment",2024,928,172435
38,"谢民生; 吉东生; 殷秀峰; 辛金元; 万欣; 李健军; 张强弓; 布多; 丛志远","基于KZ滤波和REBS估算青藏高原近地面臭氧背景浓度","中国环境科学",2024,,1-9
39,"Junyu Chen; Daobin Zhang; Yiran Fu; Jinhu Wang; Xiaomei Cui; Ci-ren Qu-zong; Qiangying Zhang; Chan Jinb; Bu Duo","Microscopic and spectroscopic analysis of atmospheric iron-containing single particles in Lhasa, Tibet","Journal of Environmental Sciences",2024,141,40-50
40,"Jiang Lu; Lv Jitao; Jones Kevin C.; Yu Shiyang; Wang Yawei; Gao Yan; Wu Jing; Luo Lun; Shi Jianbo; Li Yingming; Yang Ruiqiang; Fu Jianjie; Bu Duo; Zhang Qinghua; Jiang Guibin","Soil's Hidden Power: The Stable Soil Organic Carbon Pool Controls the Burden of Persistent Organic Pollutants in Background Soils","Environmental Science & Technology",2024,58(19),8490-8500
41,"李灿然; 布多; 谢民生; 尼霞次仁; 万欣; 丛志远","青藏高原城市PM2.5和O3污染特征及影响因素","中国环境科学",2024,44(6),3060-3069
42,"崔小梅; 肖方景; 赵远昭; 魏延丽; 谢民生; 布多; 张强英","金属基吸附剂除氟技术及吸附机理研究进展","化学试剂",2024,46(2),80-87
43,"肖方景; 陈优; 华德伟; 张瑶; 布多; 张强英","纳米金属氧化物吸附剂除砷研究进展","应用化工",2024,53(01),141-145
44,"Ye Chunxiang; Guo Shuzheng; Lin Weili; Tian Fangjie; Wang Jianshu; Zhang Chong; Chi Suzhen; Chen Yi; Zhang Yingjie; Zeng Limin; Li Xin; Bu Duo; Zhou Jiacheng; Zhao Weixiong","Measurement report: Source apportionment and environmental impacts of volatile organic compounds (VOCs) in Lhasa, a highland city in China","Atmospheric Chemistry and Physics",2023,23(18),10383-10397
45,"Zhou Wei; Huang Kai; Bu Duo; Zhang Qiangying; Fu Jie; Hu Boyuan; Zhou Yunqiao; Chen Weifang; Fu Yilin; Zhang Aiqian; Fu Jianjie; Jiang Guibin","Remarkable contamination of short- and medium-chain chlorinated paraffins in free-range chicken eggs from rural area of the Tibetan Plateau","Environmental Science & Technology",2023,,
46,"Fangjing Xiao; Xiaomei Cui; Yuanzhao Zhao; Jianjie Fu; Tao Yu; Duo Bu; Qiangying Zhang","Concentration, spatial distribution, and source apportionment of heavy metals in agricultural soils from the Yarlung Zangbo River Basin, Tibetan Plateau","Environmental Earth Sciences",2023,82(23),577
47,"Fangjing Xiao; Yuanzhao Zhao; Duo Bu; Qiangying Zhang","Concentration, Spatial Distribution, and Source Analysis of Trace Elements in the Yarlung Zangbo River Basin and Its Two Tributaries","Water",2023,,
48,"王金虎; 宁琰萍; 崔小梅; 魏延丽; 布多","披针叶野决明基因组调研及SSR特征分析","高原科学研究",2023,7(03),13-21
49,"华德伟; 布多; 肖方景; 崔小梅","京津冀地区主要水系沉积物中重金属污染状况研究","应用化工",2023,52(11),3124-3128
50,"张瑶; 陈优; 陈均玉; 郭梓萌; 布多","青藏高原碳质气溶胶研究进展","应用化工",2023,52(11),3158-3162
51,"闻昌成; 李灿然; 梅键民; 赵远昭; 魏延丽; 布多","湖泊环境中有机磷阻燃剂的污染现状与生物富集研究进展","环境科学导刊",2023,42(04),11-17+44
52,"陈优; 张瑶; 肖方景; 蔡甲; 张强英; 布多; 崔小梅","土壤中抗生素抗性基因研究进展","应用化工",2023,52(08),2402-2407
53,"郭梓萌; 崔小梅; 陈均玉; 肖方景; 布多","大气中微塑料的研究进展","环境化学",2023,42(12),4079-4092
54,"肖方景; 旦增; 魏延丽; 郭梓萌; 陈优; 布多; 张强英","青藏高原多介质环境POPs研究进展","应用化工",2023,52(07),2212-2217
55,"魏延丽; 王金虎; 李静; 闻昌成; 肖方景; 布多","碳中和背景下微藻生物固碳技术的研究进展","环境生态学",2023,5(05),42-48
56,"肖方景; 张强英; 赵远昭; 陈均玉; 布多; 次仁; 崔小梅","基于BPNN的一江两河流域水体中重金属浓度预测","环境化学",2023,,1-11
57,"赵远昭; 张强英; 布多","一江两河流域年楚河段农用地土壤重金属污染风险评价","乡村科技",2023,14(03),141-143
58,"Zhu Puli; Wang Yilin; Bai Hui; Feng Jing; Zhang Rui; Bu Duo; Dan Zeng; Li Wei; Lu Xuebin","Research on the Promotion of Sludge Anaerobic Fermentation with Sodium Citrate under Low Concentrations of Polyaluminum Chloride","Environmental Research",2023,,
59,"Jinhu Wang; Junyu Chen; Dongdong Zhang; Xiaomei Cui; Jinna Zhou; Jing Li; Yanli Wei; Duo Bu","Integrated Omics Approach to Discover Differences in the Metabolism of a New Tibetan Desmodesmus sp. in Two Types of Sewage Treatments","Metabolites",2023,13,388
60,"Zeng Dan; Yuechi Che; Xutong Wang; Peng Zhou; Zhiyong Han; Duo Bu; Xuebin Lu; Wenchao Ma; Guanyi Chen","Environmental, economic, and energy analysis of municipal solid waste incineration under anoxic environment in Tibet Plateau","Environmental Research",2023,216,114681
